,Longitude,Latitude,Pressure,Crust km,System,Z,Zone,Type,Volc system area km2,Volc system length km,Volc system width km,blockmedian length km,blockmedian  with km,blockmedian area km2,spreading rate (mm/yr),References,Spreading rate (km/yr),Spreading rate x volc sys length,Spreading rate x block length,Annual volume - crustal thickness x spreading rate x system length,Annual volume = crustal thickness x spreading rate x block length,Area 1 (block length x volc sys width),flux 1 (block),flux 2 (block and width),flux 3 (length volume/volc area),flux 4 (length volume / block  and width
0,-16.91,66.1,5.048216466,17.12751389,Theistareykir,NVZ,NNVZ,rift,650,90,9,45,45,2025,17,"Drouin et al., 2017; Sigmundsson et al., 2020",0.000017,0.00153,0.000765,0.026205096,0.013102548,405,6.47E-06,3.24E-05,4.03E-05,6.47E-05
1,-16.17,66.15,2.065563339,27.0470314,Fremrinamur,NVZ,NNVZ,rift,1200,150,15,45,45,2025,17,"Drouin et al., 2017; Sigmundsson et al., 2020",0.000017,0.00255,0.000765,0.06896993,0.020690979,675,1.02E-05,3.07E-05,5.75E-05,0.000102178
2,-16.84,65.785,5.259803432,18.26018715,Krafla,NVZ,NNVZ,rift,900,100,19,45,45,2025,17,"Drouin et al., 2017; Sigmundsson et al., 2020",0.000017,0.0017,0.000765,0.031042318,0.013969043,855,6.90E-06,1.63E-05,3.45E-05,3.63E-05
3,-16.405,65.845,3.349601044,21.40564156,Fremrinamur,NVZ,NNVZ,rift,1200,150,15,45,45,2025,17,"Drouin et al., 2017; Sigmundsson et al., 2020",0.000017,0.00255,0.000765,0.054584386,0.016375316,675,8.09E-06,2.43E-05,4.55E-05,8.09E-05
4,-17.04,65.41,4.871955391,27.31580925,Krafla,NVZ,NNVZ,rift,900,100,19,45,45,2025,17,"Drouin et al., 2017; Sigmundsson et al., 2020",0.000017,0.0017,0.000765,0.046436876,0.020896594,855,1.03E-05,2.44E-05,5.16E-05,5.43E-05
5,-16.3,65.6,1.933770348,21.52239418,askja,NVZ,SNVZ,rift,2300,200,20,45,45,2025,17,"Drouin et al., 2017; Sigmundsson et al., 2020",0.000017,0.0034,0.000765,0.07317614,0.016464632,900,8.13E-06,1.83E-05,3.18E-05,8.13E-05
6,-22.9219,64.9021,2.786346699,27.91459564,Ljosufjoll,SNFS,SNFS,flank,720,80,15,45,45,2025,0.5,estimated for calc,0.0000005,0.00004,0.0000225,0.001116584,0.000628078,675,3.10E-07,9.30E-07,1.55E-06,1.65E-06
7,-20.55,64.81,8.758081442,25.06417274,Hveravellir,WVZ,WVZ,rift,720,60,18,45,45,2025,2.6,"Sigmundsson et al., 1995; La Femina et al., 2005;  Travis et al., 2012; Hjartardottir et a., 2016",0.0000026,0.000156,0.000117,0.003910011,0.002932508,810,1.45E-06,3.62E-06,5.43E-06,4.83E-06
8,-19.8,64.95,9.165560923,26.35977936,Hveravellir,WVZ,WVZ,rift,720,60,18,45,45,2025,1.3,"Sigmundsson et al., 1995; La Femina et al., 2005;  Travis et al., 2012; Hjartardottir et a., 2016",0.0000013,0.000078,0.0000585,0.002056063,0.001542047,810,7.62E-07,1.90E-06,2.86E-06,2.54E-06
9,-18.83,65.01,7.203559294,30.50099373,hofsjokull,HVZ,HVZ,rift,2200,95,38,45,45,2025,1,Einarsson 2008,0.000001,0.000095,0.000045,0.002897594,0.001372545,1710,6.78E-07,8.03E-07,1.32E-06,1.69E-06
