Experiment,Reference,Apparatus,Pressure_kbar,Pressure_error,Temperature_degC,Phases,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Cr2O3,Total,Alk Line,Sub line,Alkalinity (S),Alkalinity (A),alk,KB08
KN-54-2-2-1,Grove1992,1atm_furnace,0.001,0.00001,1161,gl-ol-cp-pl,51.9,2.38,13.6,11.3,0.23,6.06,10.4,3.27,0.34,,,0.06,99.54,7.72,4.9336,1.3236,4.11,3.61,3.4945
ALV-1690-20,Grove1992,zhm_ar,2,0.02,1163,gl-ol-cp-pl,49.8,2.35,13.6,12.2,0.25,6.7,10.5,3.23,0.19,0.32,,0,99.14,6.04,3.8542,0.4342,2.62,3.42,2.77
ALV-1690-20,Grove1992,zhm_ar,2,0.02,1152,gl-ol-cp-pl,50,2.47,13.7,11.7,0.19,6.6,10.5,3.36,0.22,0.36,,0,99.1,6.2,3.957,0.377,2.62,3.58,3.1305
ALV-1690-20,Grove1992,zhm_ar,2,0.02,1148,gl-ol-cp-pl,49.8,2.3,13.7,12,0.22,6.68,10.7,3.18,0.19,0.32,,0,99.09,6.04,3.8542,0.4842,2.67,3.37,3.4805
ALV-1690-20,Grove1992,zhm_ar,2,0.02,1145,gl-ol-cp-pl,49.8,3.32,12.9,12.9,0.27,6.08,9.86,3.11,0.25,0.43,,0,98.92,6.04,3.8542,0.4942,2.68,3.36,4.4773
ALV-1690-20,Grove1992,zhm_ar,2,0.02,1126,gl-ol-cp-pl,49,3.7,12.5,13.6,0.25,5.91,9.66,3.29,0.28,0.53,,0,98.72,5.4,3.443,-0.127,1.83,3.57,4.9867
AII-96-18-1,Grove1992,Piston Cylinder,8,0.5,1240,gl-ol-cp-pl,50.2,1.4,15.8,9.48,0.14,8.01,10.6,3.13,0.12,0.15,,0.05,99.08,6.36,4.0598,0.8098,3.11,3.25,8.2161
AII-96-18-1,Grove1992,Piston Cylinder,8,0.5,1230,gl-ol-cp-pl,49.1,1.82,15.6,11.2,0.19,7.64,9.77,3.57,0.14,0.13,,0.03,99.19,5.48,3.4944,-0.2156,1.77,3.71,7.8417
AII-96-18-1,Grove1992,Piston Cylinder,8,0.5,1215,gl-ol-cp-pl,48.7,1.9,15.3,11.5,0.09,7.27,9.62,3.61,0.15,0.13,,0.08,98.35,5.16,3.2888,-0.4712,1.4,3.76,7.3128
ALV-528-1-1,Grove1992,Piston Cylinder,8,0.5,1265,gl-ol-cp-pl,49,0.9,16.3,9.79,0.13,9.12,11.5,2.33,0.11,0.06,,0.11,99.35,5.4,3.443,1.003,2.96,2.44,5.1168
ALV-528-1-1,Grove1992,Piston Cylinder,8,0.5,1250,gl-ol-cp-pl,49.3,0.89,15.9,10.1,0.15,8.46,11.9,2.23,0.12,,,0.08,99.13,5.64,3.5972,1.2472,3.29,2.35,6.9571
ALV-528-1-1,Grove1992,Piston Cylinder,8,0.5,1235,gl-ol-cp-pl,49.2,1.02,15.6,11.1,0.27,8.32,11.6,2.28,0.14,0.16,,0.11,99.8,5.56,3.5458,1.1258,3.14,2.42,9.0437
ALV-528-1-1,Grove1992,Piston Cylinder,8,0.5,1225,gl-ol-cp-pl,48.9,1.72,15.4,11.9,0.22,7.88,10.4,3.12,0.16,0.26,,0.08,100.04,5.32,3.3916,0.1116,2.04,3.28,4.8156
70-002,Grove1992,Piston Cylinder,8,0.5,1240,gl-ol-cp-pl,49.2,1.11,16,8.63,0.05,9.5,11.8,2.61,0.08,0.08,,0.11,99.17,5.56,3.5458,0.8558,2.87,2.69,7.2269
