Ex_row,Sample#,Reference,Volcanic Zone,Volcanic Zone specific,Volcanic System,Volcanic Sys,Location/Volcano/phase,Eruption,Systems,Comparison,Age yrs BP (Ref 1950),age error,Eruption type,Latitiude,Longitude,Type,Type Simplified,TS,Composition,SiO2,TiO2,Al2O3,Cr2O3,FeO,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SrO,BaO,H2O,sum,Pressure_min,Probability
ExRow_13,DICE5,Burnard2005,WVZ,WVZ,Hromundartindur,Hromundartindur,SW_of_Maelifell,Maelifell,Maelifell-Midfell,Maelifell-Midfell,0,0,0,64.09638889,-21.20194444,Glass,glass,1,Pillow rim,48.381,1.031,15.216,0,9.33,0,0.165,9.175,14.794,1.876,0.031,0,0,0,0,100,3.808926209,0.989194265
ExRow_15,DICE8,Burnard2005,WVZ,WVZ,Hengill,Hengill,Olfusvatnsfjoll,Olfusvatnsfjoll,Hengill,Hengill,0,0,0,64.13027778,-21.13111111,Glass,glass,1,Pillow rim,49.394,1.367,14.296,0,11.313,0,0.186,7.645,13.333,2.321,0.145,0,0,0,0,100,1.390494917,0.939862085
ExRow_17,DICE43,Burnard2005,WVZ,WVZ,Hengill,Hengill,Hromundartindar,Hromundartindar,Hengill,Hengill,0,0,0,64.08416667,-21.18916667,Glass,glass,1,Pillow rim,48.56,2.464,14.721,0,12.538,0,0.25,6.893,11.436,2.755,0.385,0,0,0,0,100,4.007887232,0.806474362
ExRow_19,Krysuvik,Condomines1983,RVB,REP,Krysuvik,Krysuvik,Krysuvik,0,Krysuvik,Krysuvik,0,0,0,63.9,-22.08,Glass,glass,1,0,49.314,1.543,14.825,0,10.488,0,0.182,8.441,12.707,2.037,0.252,0.212,0,0,0,100,4.362080599,0.967255775
ExRow_20,HEN_1,Condomines1983,WVZ,WVZ,Hengill,Hengill,Hengill,0,Hengill,Hengill,0,0,0,64.17,-21.4,Glass,glass,1,0,48.834,0.951,15.011,0,9.156,0,0.15,9.006,15.211,1.621,0.01,0.05,0,0,0,100,2.145840569,0.90645088
ExRow_21,TRO103,Condomines1983,WVZ,WVZ,Prestahnjukur,Prestahnjukur,Thorisjokull,0,Prestahnjukur,Prestahnjukur,0,0,0,64.61,-20.89,Glass,glass,1,0,49.072,1.047,14.562,0,10.074,0,0.199,8.548,14.462,1.935,0.02,0.08,0,0,0,100,1.832314166,0.991530843
ExRow_22,TOR108,Condomines1983,WVZ,WVZ,Prestahnjukur,Prestahnjukur,Thorisjokull,0,Prestahnjukur,Prestahnjukur,0,0,0,64.61,-20.89,Glass,glass,1,0,48.537,1.058,14.433,0,9.984,0,0.178,8.452,15.322,1.947,0.02,0.069,0,0,0,100,0.508449724,0.969795511
ExRow_25,NAL33,Condomines1983,NVZ,NNVZ,Fremrinamar,Fremrinamar,Hvammsfjoll,0,Fremrinamar,Fremrinamar,0,0,0,65.2,-16.41,Glass,glass,1,0,48.831,0.597,15.912,0,8.841,0,0.209,9.677,14.222,1.661,0.01,0.04,0,0,0,100,6.365784359,0.999927634
ExRow_42,RE16,Hardarson1997,RVB,REP,Reykjanes,Svartsengi-Reykjanes,0,0,Reykjanes,Reykjanes,0,0,0,63.88,-22.54,Lava,whole-rock,2,0,49.49,2.29,13.56,0,14.39,0,0.24,6.36,10.75,2.47,0.24,0.21,0,0,0,100,2.91079938,0.842079708
ExRow_48,D6D,Hemond1993,RVB,REP,Reykjanes,Svartsengi-Reykjanes,Reykjanes,Sandfellshaed,Reykjanes,Reykjanes,0,0,0,63.88,-22.54,Lava,whole-rock,2,0,48.05,1.07,16.12,0,10.72,0,0.17,8.88,12.71,1.83,0.17,0.29,0,0,0,100.01,8.83099628,0.943109591
ExRow_49,SAL_306,Macpherson2005,NVZ,SNVZ,Bardarbunga-Veidivotn,Bardarbunga-Veidivotn,0,Bardarbunga,Bardarbunga,Bardarbunga,0,0,0,64.7,-17.58,Glass,glass,1,0,49.665,1.321,14.346,0,10.692,0,0.17,7.789,13.515,2.172,0.16,0.17,0,0,0,100,0.984167071,0.883010683
ExRow_104,VH56,Hards2000,OVZ,OVZ,Snaefell,Snaefell,0,Laugara_River,Snaefell,Snaefell,0,0,0,64.87,-15.48,Lava,whole-rock,2,0,46.91,4.43,13.54,0,16.04,0,0.25,5.4,9.29,2.91,0.72,0.51,0,0,0,100,4.892151768,0.936373035
ExRow_134,VH90,Hards2000,OVZ,OVZ,Snaefell,Snaefell,0,Litla-Snaefell,Snaefell,Snaefell,0,0,0,64.72,-15.67,Dyke,whole-rock,2,0,49.31,2.26,15.59,0,11.16,0,0.22,6.78,9.88,3.14,0.93,0.72,0,0,0,99.99,5.728467064,0.957194376
ExRow_157,VH119,Hards2000,OVZ,OVZ,Snaefell,Snaefell,0,W_of_Thordafell,Snaefell,Snaefell,0,0,0,64.72,-15.67,Lava,whole-rock,2,0,47.62,2.16,16.06,0,11.63,0,0.18,7.97,10.89,2.65,0.59,0.24,0,0,0,99.99,9.574170173,0.930046381
ExRow_158,VH120,Hards2000,OVZ,OVZ,Snaefell,Snaefell,0,W_of_Thordafell,Snaefell,Snaefell,0,0,0,64.72,-15.67,Lava,whole-rock,2,0,47.4,2.27,15.9,0,11.9,0,0.19,7.98,10.9,2.64,0.6,0.23,0,0,0,100.01,9.687516311,0.822296217
ExRow_162,VH124,Hards2000,OVZ,OVZ,Snaefell,Snaefell,0,Geldaerhnjukur,Snaefell,Snaefell,0,0,0,64.97,-15.55,Lava,whole-rock,2,0,49.36,2.48,13.39,0,14.3,0,0.23,6.32,10.93,2.52,0.24,0.23,0,0,0,100,2.233891878,0.883983355
ExRow_169,VH131,Hards2000,OVZ,OVZ,Snaefell,Snaefell,0,Thjofahnjukur,Snaefell,Snaefell,0,0,0,64.74,-15.59,Lava,whole-rock,2,0,48.63,2.2,15.96,0,10.59,0,0.18,7.94,10.88,2.65,0.66,0.31,0,0,0,100,7.727770995,0.981309004
ExRow_189,VH153,Hards2000,OVZ,OVZ,Snaefell,Snaefell,0,Thraelahals,Snaefell,Snaefell,0,0,0,64.94,-15.42,Dyke,whole-rock,2,0,47.46,2.19,15.58,0,10.98,0,0.18,7.85,12.58,2.4,0.47,0.3,0,0,0,99.99,5.91168528,0.927765394
